run,method,split,n,n_correct,overall_acc,mean_sim_correct,mean_sim_wrong,median_sim_correct,median_sim_wrong,n_above_0.5,p_above_0.5,p_below_0.5,lift_at_0.5,n_above_0.6,p_above_0.6,p_below_0.6,lift_at_0.6,n_above_0.7,p_above_0.7,p_below_0.7,lift_at_0.7,n_above_0.8,p_above_0.8,p_below_0.8,lift_at_0.8,n_above_0.9,p_above_0.9,p_below_0.9,lift_at_0.9
set2_stage3_r16_retrieval_8k,retrieval_practice,ood,3532,128,0.0362,0.7114,0.5934,0.7039,0.5708,2498,0.0424,0.0213,0.0212,1554,0.0553,0.0212,0.0341,856,0.0759,0.0235,0.0524,455,0.1099,0.0253,0.0845,178,0.1742,0.0289,0.1452
set2_stage3_r16_retrieval_random_seed1,retrieval_practice,ood,3532,110,0.0311,0.6548,0.5958,0.6237,0.5718,2498,0.0344,0.0232,0.0112,1554,0.0386,0.0253,0.0133,856,0.0479,0.0258,0.0221,455,0.0615,0.0266,0.0349,178,0.0843,0.0283,0.0559
set2_stage3_r16_retrieval_seed1_held,retrieval_practice,ood,3532,129,0.0365,0.6767,0.5947,0.6504,0.5714,2498,0.0432,0.0203,0.0229,1554,0.0508,0.0253,0.0256,856,0.0619,0.0284,0.0335,455,0.0923,0.0283,0.064,178,0.0955,0.0334,0.0621
set2_stage3_r16_standard_8k,standard_ft,ood,3532,110,0.0311,0.7246,0.5936,0.7417,0.5712,2498,0.036,0.0193,0.0167,1554,0.0476,0.0182,0.0294,856,0.0736,0.0176,0.056,455,0.1055,0.0201,0.0853,178,0.1573,0.0244,0.1329
set2_stage3_r16_standard_mastered_seed1,standard_ft_mastered,ood,3532,111,0.0314,0.6307,0.5966,0.5986,0.573,2498,0.0328,0.028,0.0048,1554,0.0347,0.0288,0.0059,856,0.0421,0.028,0.014,455,0.0549,0.0279,0.027,178,0.073,0.0292,0.0438
set2_stage3_r16_standard_seed0_det,standard_ft,ood,3532,108,0.0306,0.668,0.5955,0.6284,0.5722,2498,0.0324,0.0261,0.0063,1554,0.038,0.0248,0.0132,856,0.0502,0.0243,0.0259,455,0.0769,0.0237,0.0532,178,0.1067,0.0265,0.0802
set2_stage3_r16_standard_seed1_held,standard_ft,ood,3532,119,0.0337,0.6537,0.5957,0.6138,0.573,2498,0.0352,0.03,0.0052,1554,0.0393,0.0293,0.0099,856,0.0549,0.0269,0.028,455,0.0791,0.027,0.0521,178,0.1067,0.0298,0.0769
set2_stage3_r32_retrieval,retrieval_practice,ood,3532,127,0.036,0.6954,0.594,0.7007,0.5714,2498,0.042,0.0213,0.0208,1554,0.0534,0.0222,0.0312,856,0.0748,0.0235,0.0512,455,0.1011,0.0263,0.0748,178,0.1292,0.031,0.0982
set2_stage3_r32_standard,standard_ft,ood,3532,110,0.0311,0.7035,0.5943,0.7109,0.5714,2498,0.036,0.0193,0.0167,1554,0.047,0.0187,0.0283,856,0.0666,0.0198,0.0468,455,0.0901,0.0224,0.0677,178,0.1292,0.0259,0.1033
set2_stage3_r8_retrieval_random,retrieval_practice,ood,3532,105,0.0297,0.6338,0.5966,0.5978,0.574,2498,0.03,0.029,0.001,1554,0.0315,0.0283,0.0032,856,0.0397,0.0265,0.0132,455,0.0593,0.0253,0.034,178,0.0899,0.0265,0.0634
set2_stage3_r8_retrieval_seed1_held,retrieval_practice,ood,3532,112,0.0317,0.6688,0.5953,0.6462,0.5718,2498,0.0356,0.0222,0.0134,1554,0.0418,0.0238,0.0181,856,0.0561,0.0239,0.0322,455,0.0747,0.0253,0.0494,178,0.1011,0.028,0.0731
set2_stage3_r8_retrieval_seed2,retrieval_practice,ood,3532,127,0.036,0.6507,0.5957,0.6366,0.5718,2498,0.0376,0.0319,0.0057,1554,0.045,0.0288,0.0162,856,0.0572,0.0291,0.0281,455,0.0725,0.0305,0.042,178,0.0787,0.0337,0.045
set2_stage3_r8_standard_mastered,standard_ft_mastered,ood,3532,100,0.0283,0.6502,0.5961,0.6352,0.5718,2498,0.03,0.0242,0.0058,1554,0.0386,0.0202,0.0184,856,0.0409,0.0243,0.0166,455,0.0484,0.0253,0.023,178,0.0562,0.0268,0.0293
set2_stage3_r8_standard_random,standard_ft,ood,3532,110,0.0311,0.6539,0.5959,0.6296,0.5724,2498,0.032,0.029,0.003,1554,0.0393,0.0248,0.0145,856,0.0479,0.0258,0.0221,455,0.0703,0.0253,0.045,178,0.0899,0.028,0.0619
set2_stage3_r8_standard_seed1_held,standard_ft,ood,3532,108,0.0306,0.6559,0.5958,0.6244,0.5722,2498,0.0336,0.0232,0.0104,1554,0.038,0.0248,0.0132,856,0.0467,0.0254,0.0213,455,0.0637,0.0257,0.0381,178,0.0674,0.0286,0.0388
set2_stage3_r8_standard_seed2,standard_ft,ood,3532,93,0.0263,0.6546,0.5961,0.6183,0.5724,2498,0.0296,0.0184,0.0112,1554,0.0322,0.0217,0.0104,856,0.0362,0.0232,0.013,455,0.0527,0.0224,0.0303,178,0.0787,0.0236,0.0551
set1_quartile_1_easy_retrievalpractice,retrieval_practice,synthetic,145,14,0.0966,0.542,0.638,0.5048,0.6286,114,0.0877,0.129,-0.0413,82,0.0488,0.1587,-0.1099,45,0.0222,0.13,-0.1078,15,0.0667,0.1,-0.0333,5,0.0,0.1,-0.1
