set,run,n,strict_em,lenient_em,token_f1,edit_sim,first_token_match,char_substr
ood,set1_quartile_2_retrievalpractice,3532,0.03680634201585504,0.06823329558323896,0.09468571255094467,0.26827145450603446,0.08493771234428087,0.049546998867497166
ood,set1_quartile_2_standardft,3532,0.031710079275198186,0.060305775764439414,0.08489476550847776,0.2581086086833141,0.07587768969422423,0.0427519818799547
ood,set1_quartile_3_retrievalpractice,3532,0.02491506228765572,0.0492638731596829,0.08173983221864782,0.2414349766517068,0.08465458663646659,0.03595696489241223
ood,set1_quartile_3_standardft,3532,0.02349943374858437,0.057757644394110984,0.07989243517272963,0.24996357331205643,0.07474518686296716,0.0362400906002265
ood,set1_quartile_4_hard_retrievalpractice,3532,0.025764439411098527,0.05464326160815402,0.07987388853753524,0.23659158555547552,0.09597961494903737,0.031710079275198186
ood,set1_quartile_4_hard_standardft,3532,0.01925254813137033,0.04983012457531144,0.07756876947137431,0.23863789205307556,0.08890147225368063,0.03142695356738392
ood,set2_stage3_r16_retrieval_8k,3532,0.0362400906002265,0.056625141562853906,0.08956426422451333,0.26508357514898406,0.08691959229898075,0.045016987542468856
ood,set2_stage3_r16_retrieval_random_seed1,3532,0.03114382785956965,0.06426953567383918,0.08930861984372739,0.25854710878806225,0.08380520951302378,0.037938844847112116
ood,set2_stage3_r16_retrieval_seed1_held,3532,0.03652321630804077,0.06710079275198189,0.09386555938084801,0.26870798964184467,0.09031710079275199,0.045866364665911666
ood,set2_stage3_r16_standard_8k,3532,0.03114382785956965,0.05634201585503964,0.07947177240778605,0.26010759465372996,0.072480181200453,0.04077010192525481
ood,set2_stage3_r16_standard_mastered_seed1,3532,0.03142695356738392,0.05973952434881087,0.08894724088489889,0.2676135361205401,0.08154020385050963,0.04388448471121178
ood,set2_stage3_r16_standard_seed0_det,3532,0.030577576443941108,0.05719139297848245,0.08753633902274903,0.2643916593780938,0.08352208380520951,0.04077010192525481
ood,set2_stage3_r16_standard_seed1_held,3532,0.03369195922989807,0.06313703284258211,0.09526692053089338,0.26492596067364416,0.0948471121177803,0.04360135900339751
ood,set2_stage3_r32_retrieval,3532,0.03595696489241223,0.06285390713476784,0.0928981102891068,0.267679729785488,0.08805209513023783,0.045866364665911666
ood,set2_stage3_r32_standard,3532,0.03114382785956965,0.0622876557191393,0.08885713270622661,0.26475302708678117,0.08380520951302378,0.045866364665911666
ood,set2_stage3_r8_retrieval_random,3532,0.029728199320498302,0.062004530011325026,0.08999600028761975,0.2624272973549093,0.09003397508493771,0.039637599093997736
ood,set2_stage3_r8_retrieval_seed1_held,3532,0.031710079275198186,0.0622876557191393,0.08879216762852091,0.2604914358389422,0.08975084937712344,0.044450736126840314
ood,set2_stage3_r8_retrieval_seed2,3532,0.03595696489241223,0.06625141562853908,0.09050485290326066,0.2653548578282408,0.08635334088335221,0.044450736126840314
ood,set2_stage3_r8_standard_mastered,3532,0.028312570781426953,0.056625141562853906,0.08516719218870986,0.26150043615521074,0.08210645526613816,0.0427519818799547
ood,set2_stage3_r8_standard_random,3532,0.03114382785956965,0.0622876557191393,0.09199181653881537,0.26672557430209926,0.09229898074745187,0.04218573046432616
ood,set2_stage3_r8_standard_seed1_held,3532,0.030577576443941108,0.058323895809739526,0.08717422778111614,0.26067372968613056,0.08380520951302378,0.04077010192525481
ood,set2_stage3_r8_standard_seed2,3532,0.026330690826727066,0.05634201585503964,0.08611941726324517,0.25773134742478826,0.08776896942242356,0.03737259343148358
